dep_name,timestamp,cr_timestamp,time_window,container_name,cpu_use,mem_use
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:38:24Z,2024-12-10T00:38:25Z,12.281s,rabbitmq,74648383n,177492Ki
rest-6db8bbcfc6-b7rll,2024-12-10T00:38:24Z,2024-12-10T00:38:25Z,12.281s,master,74471940n,30492Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:38:24Z,2024-12-10T00:38:25Z,12.281s,master,77310463n,28740Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:38:24Z,2024-12-10T00:38:25Z,12.28s,workerchar,109520553n,22156Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:38:24Z,2024-12-10T00:38:25Z,12.281s,workerdb,108462323n,26428Ki
workerdb-665c87bb99-ksfzw,2024-12-10T00:38:24Z,2024-12-10T00:38:25Z,12.281s,workerdb,106390945n,25980Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:38:24Z,2024-12-10T00:38:25Z,12.281s,workerroll,59872n,20600Ki
cassdb01-cassandra-0,2024-12-10T00:38:24Z,2024-12-10T00:38:30Z,12.281s,cassandra,176046282n,1981404Ki
cassdb01-cassandra-1,2024-12-10T00:38:24Z,2024-12-10T00:38:30Z,12.282s,cassandra,318695017n,1741120Ki
cassdb01-cassandra-2,2024-12-10T00:38:24Z,2024-12-10T00:38:30Z,12.281s,cassandra,388503867n,1764612Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:38:24Z,2024-12-10T00:38:30Z,12.281s,rabbitmq,74648383n,177492Ki
rest-6db8bbcfc6-b7rll,2024-12-10T00:38:24Z,2024-12-10T00:38:30Z,12.281s,master,74471940n,30492Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:38:24Z,2024-12-10T00:38:30Z,12.281s,master,77310463n,28740Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:38:24Z,2024-12-10T00:38:30Z,12.28s,workerchar,109520553n,22156Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:38:24Z,2024-12-10T00:38:30Z,12.281s,workerdb,108462323n,26428Ki
workerdb-665c87bb99-ksfzw,2024-12-10T00:38:24Z,2024-12-10T00:38:30Z,12.281s,workerdb,106390945n,25980Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:38:24Z,2024-12-10T00:38:30Z,12.281s,workerroll,59872n,20600Ki
cassdb01-cassandra-0,2024-12-10T00:38:24Z,2024-12-10T00:38:35Z,12.281s,cassandra,176046282n,1981404Ki
